Title,Published_date,Views,Likes,Comments,Month
Electoral Bonds | The Biggest Scam in History of India? | Explained by Dhruv Rathee,2024-03-24,22269643,1585078,193557,Mar
How Airlines Make Money? | How to get Cheapest Tickets? | Case Study | Dhruv Rathee,2024-03-22,9892889,306599,15525,Mar
Ladakh in Danger! | Where is the Media? | Sonam Wangchuk | Dhruv Rathee,2024-03-15,11212035,871093,65044,Mar
Farmers vs Modi | The Truth about Farmers Protest 2.0 | Dhruv Rathee,2024-03-13,12607305,863731,94568,Mar
Internet will NEVER be the Same Again! | Rise of AI Videos | Dhruv Rathee,2024-03-05,9319087,411994,24793,Mar
Mystery of DB Cooper | Man who Vanished in the Sky! | Dhruv Rathee,2024-02-29,21414400,612403,28640,Feb
Is India becoming a DICTATORSHIP? | Chandigarh Elections | Farmers Protest | Dhruv Rathee,2024-02-22,26180988,2314286,366506,Feb
One STUPID Mistake that DESTROYED PayTM | Case Study | Dhruv Rathee,2024-02-18,9164941,314209,10215,Feb
The Truth about Feminism | Is Feminism Destroying Indian Society? | Dhruv Rathee,2024-02-14,8509249,410742,32392,Feb
How to Save your EYES from Spectacles Naturally? 🤓 | Dhruv Rathee,2024-02-09,9741799,383336,17236,Feb
Budget 2024 Analysis | What did Middle Class get? | Dhruv Rathee,2024-02-04,5619698,263816,13293,Feb
Ram Mandir: The Untold Truth about Ram's Exile | Dhruv Rathee,2024-01-23,13698290,645204,56938,Jan
Mystery of Subhas Chandra Bose's Death | Gumnami Baba | Dhruv Rathee,2024-01-20,8435779,242570,13746,Jan
Maldives vs Lakshadweep Controversy | Who is Wrong? | Dhruv Rathee,2024-01-12,8454120,323670,18693,Jan
Why Japan is the Most DANGEROUS Country? | Dhruv Rathee,2024-01-05,10713336,345762,10626,Jan
Vivek Bindra vs Sandeep Maheshwari | Who is Wrong? | Dhruv Rathee,2023-12-30,14442416,558812,32740,Dec
Netaji Subhas Chandra Bose | From Hitler's Germany to Japan | Full Biography | Dhruv Rathee,2023-12-26,11528261,335374,15202,Dec
Real Story of Dunki | How Indians Cross US Mexico Border? | Donkey Process | Dhruv Rathee,2023-12-22,22190206,543139,19902,Dec
How Korea became a Cultural Superpower? | Case Study | BTS | Squid Games | Dhruv Rathee,2023-12-16,9559941,293588,19491,Dec
ANIMAL | The Worst Movie of 2023? | Dhruv Rathee,2023-12-10,17845427,953649,82249,Dec
Sad Reality of Uttarkashi Tunnel Rescue | 3D Animation | Dhruv Rathee,2023-12-06,8997271,326897,12477,Dec
Mystery of Q-Star | The AI which threatens Humanity | Open AI | Microsoft | Dhruv Rathee,2023-12-01,7312975,229207,8700,Dec
The Dark Truth about Weapons Industry | Exposed by Dhruv Rathee,2023-11-28,9224821,317535,12975,Nov
The Bhopal Gas Leak | Who were Railway Men? | Dhruv Rathee,2023-11-26,8886630,295477,9060,Nov
How Napoleon Conquered Europe? | Was he a Hero or Villain? | Dhruv Rathee,2023-11-23,9505520,253843,11605,Nov
Nuclear Submarines | World's Most Extreme Technology | Indian Navy | Dhruv Rathee,2023-11-20,8746555,245707,6446,Nov
The Politics of Cricket World Cup | Explained by Dhruv Rathee,2023-11-16,10491343,429983,16180,Nov
The Truth about Ramayan | Shri Ram | Diwali Special | Dhruv Rathee,2023-11-10,13445153,628136,73059,Nov
The Concordia Cruise Mystery | What Went Wrong? | Titanic of 2012 | Dhruv Rathee,2023-11-06,20539721,534266,13296,Nov
Kalpana Chawla | Mystery of NASA Columbia Space Disaster | Dhruv Rathee,2023-10-30,19129567,438832,9239,Oct
Why British Left India? | Reality of Mahatma Gandhi's Role | Quit India Movement | Dhruv Rathee,2023-10-26,10037569,361976,18132,Oct
How to Lose Weight? | The Complete Scientific Guide | Dhruv Rathee,2023-10-23,16680811,567347,28670,Oct
Gaza is in Absolute Crisis! | Israel Palestine War | Dhruv Rathee,2023-10-20,10698981,438979,37888,Oct
The Mona Lisa Mystery | Why is it World's Most Famous Painting? | Dhruv Rathee,2023-10-17,18419354,461987,11332,Oct
Mystery of Flight 571 | World's Greatest Miracle | Dhruv Rathee,2023-10-12,26880809,878236,22804,Oct
Israel Palestine War | What is Happening? |  Explained by Dhruv Rathee,2023-10-10,15851697,577644,71265,Oct
Mystery of World's Oldest Human | The Secret of Living 120+ years | Dhruv Rathee,2023-10-05,11634595,325533,16907,Oct
Women's Reservation: Good or Bad? | Dhruv Rathee,2023-09-29,3429135,163776,13527,Sep
How China Invaded Aksai Chin? | The 1962 War | Dhruv Rathee,2023-09-24,3999940,172796,12067,Sep
Dark Reality of Jawan Film | Shah Rukh Khan | Dhruv Rathee,2023-09-20,13168354,768831,40874,Sep
Chandrayaan 3 Discovery | Oxygen on Moon! | Dhruv Rathee,2023-09-15,6721034,286402,10968,Sep
India vs Bharat | Which is the Real Name? | Dhruv Rathee,2023-09-13,8741400,707205,97744,Sep
The G20 Summit | What is it Exactly? | Dhruv Rathee,2023-09-08,8041168,385360,14153,Sep
What was Nehru's Mistake? | India-China 1962 War | Dhruv Rathee,2023-09-05,6431047,225977,12004,Sep
Aditya L1 | India's First Sun Mission Launched! | ISRO | Dhruv Rathee,2023-09-02,7022323,324556,9891,Sep
Why Modi Govt’s Project Cheetah has FAILED? | Dhruv Rathee,2023-08-30,6724644,233836,10364,Aug
India Makes History! | Chandrayaan 3 Lunar Landing | Dhruv Rathee,2023-08-23,12192469,519636,18814,Aug
